Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
1606,397 m,6 m,0:00:04,5 km/h,189.0° true,6/16/2023 15:26,N36° 31.711' E32° 18.817'
1607,398 m,11 m,0:00:09,4.3 km/h,227.8° true,6/16/2023 15:26,N36° 31.708' E32° 18.816'
1608,399 m,1 m,0:00:01,5 km/h,270.7° true,6/16/2023 15:26,N36° 31.704' E32° 18.811'
1609,399 m,14 m,0:00:08,6 km/h,280.6° true,6/16/2023 15:26,N36° 31.704' E32° 18.810'
1610,402 m,31 m,0:00:10,11 km/h,288.2° true,6/16/2023 15:26,N36° 31.706' E32° 18.801'
1611,405 m,10 m,0:00:06,6 km/h,186.5° true,6/16/2023 15:26,N36° 31.711' E32° 18.781'
1612,407 m,10 m,0:00:08,4.4 km/h,194.1° true,6/16/2023 15:26,N36° 31.705' E32° 18.780'
1613,409 m,5 m,0:00:03,6 km/h,168.9° true,6/16/2023 15:26,N36° 31.700' E32° 18.779'
1614,410 m,2 m,0:00:02,4.3 km/h,232.1° true,6/16/2023 15:26,N36° 31.698' E32° 18.779'
1615,411 m,4 m,0:00:03,5 km/h,232.1° true,6/16/2023 15:26,N36° 31.697' E32° 18.778'
1616,412 m,7 m,0:00:05,5 km/h,209.6° true,6/16/2023 15:27,N36° 31.696' E32° 18.776'
1617,414 m,6 m,0:00:04,6 km/h,217.9° true,6/16/2023 15:27,N36° 31.692' E32° 18.774'
1618,415 m,5 m,0:00:03,6 km/h,242.7° true,6/16/2023 15:27,N36° 31.690' E32° 18.771'
1619,416 m,4 m,0:00:03,5 km/h,202.0° true,6/16/2023 15:27,N36° 31.689' E32° 18.768'
1620,416 m,3 m,0:00:02,5 km/h,264.2° true,6/16/2023 15:27,N36° 31.686' E32° 18.767'
1621,416 m,6 m,0:00:09,2.6 km/h,216.6° true,6/16/2023 15:27,N36° 31.686' E32° 18.765'
1622,418 m,8 m,0:00:09,3.1 km/h,207.6° true,6/16/2023 15:27,N36° 31.684' E32° 18.763'
1623,419 m,19 m,0:00:12,6 km/h,167.5° true,6/16/2023 15:27,N36° 31.680' E32° 18.760'
1624,422 m,13 m,0:00:09,5 km/h,150.9° true,6/16/2023 15:27,N36° 31.670' E32° 18.763'
1625,422 m,6 m,0:00:09,2.3 km/h,170.4° true,6/16/2023 15:27,N36° 31.664' E32° 18.767'
1626,425 m,14 m,0:00:14,3.7 km/h,218.0° true,6/16/2023 15:28,N36° 31.661' E32° 18.768'
1627,429 m,8 m,0:00:15,1.9 km/h,102.8° true,6/16/2023 15:28,N36° 31.655' E32° 18.762'
