Index;Elevation;Leg distance;Leg time;Leg speed;Leg course;Time;Position;Car
231;420 м;32 м;0:00:08;15 км/ч;155.6° истина;20.03.2026 14:06;N55.17307° E59.67203°;
232;418 м;73 м;0:00:13;20 км/ч;171.2° истина;20.03.2026 14:06;N55.17280° E59.67224°;
233;418 м;69 м;0:00:12;21 км/ч;179.0° истина;20.03.2026 14:07;N55.17216° E59.67241°;
234;419 м;49 м;0:00:12;15 км/ч;176.0° истина;20.03.2026 14:07;N55.17154° E59.67243°;
235;421 м;10 м;0:00:02;19 км/ч;162.4° истина;20.03.2026 14:07;N55.17110° E59.67249°;
236;421 м;102 м;0:00:13;28 км/ч;150.4° истина;20.03.2026 14:07;N55.17101° E59.67253°;
237;422 м;31 м;0:00:08;14 км/ч;143.3° истина;20.03.2026 14:07;N55.17021° E59.67333°;
238;420 м;17 м;0:00:16;3.8 км/ч;138.8° истина;20.03.2026 14:07;N55.16999° E59.67362°;
239;418 м;25 м;0:00:09;10 км/ч;144.0° истина;20.03.2026 14:08;N55.16988° E59.67379°;
240;417 м;29 м;0:00:10;11 км/ч;142.4° истина;20.03.2026 14:08;N55.16970° E59.67402°;
241;416 м;23 м;0:00:03;28 км/ч;127.4° истина;20.03.2026 14:08;N55.16949° E59.67430°;
242;415 м;122 м;0:00:10;44 км/ч;111.0° истина;20.03.2026 14:08;N55.16936° E59.67459°;
243;415 м;181 м;0:00:13;50 км/ч;113.7° истина;20.03.2026 14:08;N55.16897° E59.67638°;
244;415 м;132 м;0:00:10;48 км/ч;127.4° истина;20.03.2026 14:08;N55.16832° E59.67899°;
245;414 м;48 м;0:00:08;22 км/ч;133.1° истина;20.03.2026 14:08;N55.16759° E59.68064°;
246;413 м;100 м;0:00:09;40 км/ч;132.6° истина;20.03.2026 14:09;N55.16730° E59.68120°;
247;413 м;115 м;0:00:08;52 км/ч;135.1° истина;20.03.2026 14:09;N55.16669° E59.68235°;
248;412 м;44 м;0:00:03;53 км/ч;158.0° истина;20.03.2026 14:09;N55.16596° E59.68363°;
249;410 м;102 м;0:00:07;53 км/ч;183.4° истина;20.03.2026 14:09;N55.16559° E59.68389°;
250;410 м;217 м;0:00:15;52 км/ч;201.8° истина;20.03.2026 14:09;N55.16467° E59.68380°;
