Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
805,222 m,202 m,0:00:04,181 km/h,9.8° true,4/14/2022 6:04,N39° 46.314' E64° 28.889'
806,221 m,210 m,0:00:05,151 km/h,9.8° true,4/14/2022 6:04,N39° 46.421' E64° 28.913'
807,221 m,129 m,0:00:04,116 km/h,10.0° true,4/14/2022 6:05,N39° 46.532' E64° 28.938'
808,221 m,96 m,0:00:04,87 km/h,10.6° true,4/14/2022 6:05,N39° 46.601' E64° 28.954'
809,222 m,83 m,0:00:05,60 km/h,7.9° true,4/14/2022 6:05,N39° 46.652' E64° 28.966'
810,220 m,62 m,0:00:06,37 km/h,10.5° true,4/14/2022 6:05,N39° 46.696' E64° 28.974'
811,218 m,11 m,0:00:06,7 km/h,346.3° true,4/14/2022 6:05,N39° 46.729' E64° 28.982'
812,228 m,16 m,0:00:09,6 km/h,306.4° true,4/14/2022 6:05,N39° 46.735' E64° 28.980'
813,245 m,17 m,0:00:09,7 km/h,71.4° true,4/14/2022 6:05,N39° 46.740' E64° 28.971'
814,236 m,18 m,0:00:07,9 km/h,148.3° true,4/14/2022 6:05,N39° 46.743' E64° 28.983'
815,235 m,50 m,0:00:12,15 km/h,184.9° true,4/14/2022 6:05,N39° 46.735' E64° 28.989'
816,235 m,28 m,0:00:05,20 km/h,184.5° true,4/14/2022 6:06,N39° 46.708' E64° 28.986'
817,238 m,86 m,0:00:13,24 km/h,187.5° true,4/14/2022 6:06,N39° 46.693' E64° 28.985'
818,244 m,121 m,0:00:14,31 km/h,190.3° true,4/14/2022 6:06,N39° 46.647' E64° 28.977'
819,244 m,160 m,0:00:15,38 km/h,190.1° true,4/14/2022 6:06,N39° 46.583' E64° 28.962'
820,245 m,164 m,0:00:13,45 km/h,189.9° true,4/14/2022 6:06,N39° 46.498' E64° 28.942'
821,246 m,213 m,0:00:15,51 km/h,190.1° true,4/14/2022 6:07,N39° 46.412' E64° 28.922'
822,246 m,113 m,0:00:09,45 km/h,190.5° true,4/14/2022 6:07,N39° 46.299' E64° 28.896'
823,245 m,120 m,0:00:12,36 km/h,190.5° true,4/14/2022 6:07,N39° 46.239' E64° 28.882'
824,243 m,129 m,0:00:13,36 km/h,190.5° true,4/14/2022 6:07,N39° 46.175' E64° 28.866'
825,242 m,65 m,0:00:10,23 km/h,189.9° true,4/14/2022 6:07,N39° 46.107' E64° 28.850'
826,242 m,103 m,0:00:16,23 km/h,191.0° true,4/14/2022 6:08,N39° 46.072' E64° 28.842'
827,241 m,48 m,0:00:11,16 km/h,196.5° true,4/14/2022 6:08,N39° 46.018' E64° 28.828'
828,241 m,26 m,0:00:06,16 km/h,225.5° true,4/14/2022 6:08,N39° 45.993' E64° 28.819'
829,240 m,28 m,0:00:05,20 km/h,259.1° true,4/14/2022 6:08,N39° 45.983' E64° 28.806'
830,236 m,72 m,0:00:12,22 km/h,282.4° true,4/14/2022 6:08,N39° 45.980' E64° 28.786'
831,227 m,53 m,0:00:10,19 km/h,283.6° true,4/14/2022 6:08,N39° 45.989' E64° 28.737'
832,221 m,24 m,0:00:06,15 km/h,260.6° true,4/14/2022 6:09,N39° 45.995' E64° 28.701'
833,219 m,36 m,0:00:08,16 km/h,211.5° true,4/14/2022 6:09,N39° 45.993' E64° 28.684'
834,222 m,76 m,0:00:14,20 km/h,187.5° true,4/14/2022 6:09,N39° 45.977' E64° 28.671'
835,227 m,44 m,0:00:10,16 km/h,192.7° true,4/14/2022 6:09,N39° 45.936' E64° 28.664'
836,231 m,20 m,0:00:05,14 km/h,226.3° true,4/14/2022 6:09,N39° 45.913' E64° 28.657'
837,233 m,18 m,0:00:04,16 km/h,267.6° true,4/14/2022 6:09,N39° 45.905' E64° 28.647'
838,234 m,55 m,0:00:14,14 km/h,278.9° true,4/14/2022 6:09,N39° 45.905' E64° 28.634'
