Index;Elevation;Leg distance;Leg time;Leg speed;Leg course;Time;Position;Car
169;213 м;189 м;0:00:16;43 км/ч;177.3° истина;22.03.2026 14:01;N56.53349° E60.87087°;
170;215 м;178 м;0:00:14;46 км/ч;186.4° истина;22.03.2026 14:01;N56.53180° E60.87102°;
171;218 м;224 м;0:00:15;54 км/ч;188.7° истина;22.03.2026 14:02;N56.53021° E60.87069°;
172;216 м;381 м;0:00:24;57 км/ч;187.2° истина;22.03.2026 14:02;N56.52822° E60.87014°;
173;215 м;252 м;0:00:16;57 км/ч;181.7° истина;22.03.2026 14:02;N56.52483° E60.86937°;
174;215 м;175 м;0:00:11;57 км/ч;195.0° истина;22.03.2026 14:02;N56.52256° E60.86924°;
175;215 м;175 м;0:00:11;57 км/ч;213.2° истина;22.03.2026 14:03;N56.52105° E60.86851°;
176;217 м;272 м;0:00:17;58 км/ч;216.8° истина;22.03.2026 14:03;N56.51974° E60.86695°;
177;215 м;236 м;0:00:15;57 км/ч;221.8° истина;22.03.2026 14:03;N56.51778° E60.86430°;
178;214 м;157 м;0:00:10;57 км/ч;236.7° истина;22.03.2026 14:03;N56.51620° E60.86173°;
179;215 м;252 м;0:00:16;57 км/ч;243.7° истина;22.03.2026 14:04;N56.51542° E60.85959°;
180;219 м;253 м;0:00:16;57 км/ч;233.1° истина;22.03.2026 14:04;N56.51442° E60.85591°;
181;219 м;368 м;0:00:23;58 км/ч;230.2° истина;22.03.2026 14:04;N56.51305° E60.85262°;
182;218 м;443 м;0:00:28;57 км/ч;232.4° истина;22.03.2026 14:04;N56.51094° E60.84802°;
183;216 м;16 м;0:00:01;57 км/ч;223.6° истина;22.03.2026 14:05;N56.50851° E60.84231°;
184;216 м;63 м;0:00:04;57 км/ч;212.1° истина;22.03.2026 14:05;N56.50841° E60.84213°;
185;216 м;64 м;0:00:04;57 км/ч;203.9° истина;22.03.2026 14:05;N56.50793° E60.84159°;
186;216 м;94 м;0:00:06;57 км/ч;228.2° истина;22.03.2026 14:05;N56.50740° E60.84116°;
187;217 м;157 м;0:00:12;47 км/ч;246.1° истина;22.03.2026 14:05;N56.50684° E60.84002°;
188;221 м;77 м;0:00:09;31 км/ч;246.3° истина;22.03.2026 14:05;N56.50627° E60.83769°;
189;221 м;15 м;0:00:07;8 км/ч;326.2° истина;22.03.2026 14:06;N56.50599° E60.83654°;
190;222 м;14 м;0:00:06;9 км/ч;24.6° истина;22.03.2026 14:06;N56.50610° E60.83641°;
